"Fall 2026"
"Generated 4/28/2026, 12:27:50 PM"
,"CLSS ID","CRN","Term","Term Code","Department Code","Subject Code","Catalog Number","Course","Section #","Course Title","Long Title","Schedule Type","Title","Meeting Pattern","Meetings","Instructor","Room","Status","Part of Term","Custom Start Date","Custom End Date","Session","Campus","Print/Web","Special Approval","Credit Hrs","Attributes","Course Attributes","Enrollment","Maximum Enrollment","Prior Enrollment","Wait Cap","Wait Total","Attend Mthd","Cross-listings","Cross-list Enrollment","Cross-list Maximum","Cross-list Wait Cap","Cross-list Wait Total","Cross-list Attend Meth","Link To","Comments","Section Notes#1","Section Notes#2","Restrictions
Student Attribute 
Include/Exclude","Restrictions
Student Attribute","Restrictions
Cohort 
Include/Exclude","Restrictions
Cohort"
"MATH 100A - Short Calculus I"
,"1997","74256","Fall 2026","202670","MATH","MATH","100A","MATH 100A","74256 (001)","Short Calculus I","","Lecture","","TR 1:10pm-3:15pm","TR 1:10pm-3:15pm [Lecture (Class)]","Bradach, Kyle (S00015786) [Primary, 100%]","HC 215","Active","12 week session (9/28/26 to 12/22/26)","","","Day","Ocean","Yes","(None Assigned)","3","CalGETC 2: Math & Quant Reason; CCSF 2: Mathematics","CalGETC 2: Math & Quant Reason; CCSF 2: Mathematics","0","35","0","10","0","D","","","","","","","","","","","Exclude (E)","High School Exemption (CHSS) ","",""
,"349","70948","Fall 2026","202670","MATH","MATH","100A","MATH 100A","70948 (501)","Short Calculus I","Short Calculus I","Lecture","","TR 6:10pm-7:25pm","TR 6:10pm-7:25pm [Lecture (Class)]","Bradach, Kyle (S00015786) [Primary, 100%]","CLOU 266 - Smart Classroom","Active","Full Term (8/18/26 to 12/22/26)","","","Evening","Ocean","Yes","(None Assigned)","3","CalGETC 2: Math & Quant Reason; CCSF 2: Mathematics","CalGETC 2: Math & Quant Reason; CCSF 2: Mathematics","0","35","29","10","0","W","","","","","","","","","","","Exclude (E)","High School Exemption (CHSS) ","",""
"MATH 108 - Foundations of Data Science"
,"350","70949","Fall 2026","202670","MATH","MATH","108","MATH 108","70949 (961)","Foundations of Data Science","Foundations of Data Science","Online Hybrid","","R 1:10pm-3:25pm","R 1:10pm-3:25pm [Online Hybrid (Class)]; Does Not Meet [Online Learning (To Be Arranged)]","Mohammadzadeh, Sonny (@00256571) [Primary, 100%]","JDVL 805; No Room Assigned","Active","16 week session (8/31/26 to 12/22/26)","","","Day","Ocean","Yes","(None Assigned)","5","CalGETC 2: Math & Quant Reason; InsMa: No-Cost OER; CCSF 2: Mathematics","CalGETC 2: Math & Quant Reason; CCSF 2: Mathematics","0","35","22","10","0","DI","","","","","","","","Room Request: Same smart classroom as MATH 65 001 and MATH 115 002","","This class requires in-person meetings and the use of Canvas. In-person meeting information (meeting days, times, location) is in the class schedule. Students will also complete coursework in Canvas, which must be accessed using an internet-enabled device. This class is part of <a href=""https://ccsf.edu/cityonline"">CityOnline</a> and is 16 weeks. For student support and other services, students can check <a href=""https://ccsf.instructure.com/courses/39802/pages/welcome"">Welcome to CityOnline</a>.","Exclude (E)","High School Exemption (CHSS) ","",""
,"1243","73040","Fall 2026","202670","MATH","MATH","108","MATH 108","73040 (962)","Foundations of Data Science","Foundations of Data Science","Online Hybrid","","R 6:10pm-8:25pm","R 6:10pm-8:25pm [Lecture (Class)]; Does Not Meet [Online Learning (To Be Arranged)]","Page II, Ronald (@00264621) [Primary, 100%]","MIC 321- General Classroom; No Room Assigned","Active","16 week session (8/31/26 to 12/22/26)","","","Evening","Mission","Yes","(None Assigned)","5","CalGETC 2: Math & Quant Reason; InsMa: No-Cost OER; CCSF 2: Mathematics","CalGETC 2: Math & Quant Reason; CCSF 2: Mathematics","0","35","20","10","0","DI","","","","","","","","Room Request: Smart Classroom","","This class requires in-person meetings at the Mission Center and the use of Canvas. In-person meeting information (meeting days, times, location) is in the class schedule. Students will also complete coursework in Canvas, which must be accessed using an internet-enabled device. This class is part of <a href=""https://ccsf.edu/cityonline"">CityOnline</a> and is 16 weeks. For student support and other services, students can check the <a href=""https://ccsf.instructure.com/courses/55262/pages/welcome"">instructor's website</a>. ","Exclude (E)","High School Exemption (CHSS) ","",""
,"351","70950","Fall 2026","202670","MATH","MATH","108","MATH 108","70950 (963)","Foundations of Data Science","Foundations of Data Science","Online Hybrid","","W 6:10pm-8:25pm","W 6:10pm-8:25pm [Lecture (Class)]; Does Not Meet [Online Learning (To Be Arranged)]","Wiggins, Shawn (@00282836) [Primary, 100%]","CHNB 1405; No Room Assigned","Active","16 week session (8/31/26 to 12/22/26)","","","Evening","Chinatown/North Beach","Yes","(None Assigned)","5","CalGETC 2: Math & Quant Reason; InsMa: No-Cost OER; CCSF 2: Mathematics","CalGETC 2: Math & Quant Reason; CCSF 2: Mathematics","0","35","32","10","0","DI","","","","","","","","Room Request: Smart Classroom","","This class requires in-person meetings at the Chinatown/North Beach Center and the use of Canvas. In-person meeting information (meeting days, times, location) is in the class schedule. Students will also complete coursework in Canvas, which must be accessed using an internet-enabled device. This class is part of <a href=""https://ccsf.edu/cityonline"">CityOnline</a> and is 16 weeks. For student support and other services, students can check <a href=""https://shawnwiggins.github.io/"">the instructor's website</a>.","Exclude (E)","High School Exemption (CHSS) ","",""
,"1454","73486","Fall 2026","202670","MATH","MATH","108","MATH 108","73486 (964)","Foundations of Data Science","Foundations of Data Science","Online Hybrid","","F 10:10am-12:25pm","F 10:10am-12:25pm [Lecture (Class)]; Does Not Meet [Online Learning (To Be Arranged)]","Mohammadzadeh, Sonny (@00256571) [Primary, 100%]","CLOU 202 - Smart Classroom; No Room Assigned","Active","16 week session (8/31/26 to 12/22/26)","","","Day","Ocean","Yes","(None Assigned)","5","CalGETC 2: Math & Quant Reason; InsMa: No-Cost OER; CCSF 2: Mathematics","CalGETC 2: Math & Quant Reason; CCSF 2: Mathematics","0","35","23","10","0","DI","","","","","","","","Room Request: Smart Classroom","","This class requires in-person meetings and the use of Canvas. In-person meeting information (meeting days, times, location) is in the class schedule. Students will also complete coursework in Canvas, which must be accessed using an internet-enabled device. This class is part of <a href=""https://ccsf.edu/cityonline"">CityOnline</a> and is 16 weeks. For student support and other services, students can check <a href=""https://ccsf.instructure.com/courses/39802/pages/welcome"">Welcome to CityOnline</a>.","Exclude (E)","High School Exemption (CHSS) ","",""
"MATH 110A - Calculus I"
,"2126","74316","Fall 2026","202670","MATH","MATH","110A","MATH 110A","74316 (002)","Calculus I","","Lecture","","TR 8:40am-10:55am","TR 8:40am-10:55am [Lecture (Class)]","Stevens, Alice (W00172903) [Primary, 100%]","STEM 317","Active","Full Term (8/18/26 to 12/22/26)","","","Day","Ocean","Yes","(None Assigned)","5","CalGETC 2: Math & Quant Reason; CCSF 2: Mathematics","CalGETC 2: Math & Quant Reason; CCSF 2: Mathematics","0","35","0","10","0","W","","","","","","","","Room Request: STEM 317","","Some seats are reserved for students in the Metro Transfer Program.","Exclude (E)","High School Exemption (CHSS) ","",""
